,계정명,속성명,WebStream Measurement ID,사이트 유형,대표 URLs,웹/앱 여부,Web GTM Pubilic ID,Android GTM Pubilic ID,iOS GTM Pubilic ID,Dataset ID,마케팅 GTM,whitelist
,[GA4] Amorepacific - Ecommerce,[EC] AMOREMALL - KR,G-FZGDPV2WNV,이커머스,https://www.amoremall.com/kr/ko/display/main,웹/앱,GTM-5FK5X5C4,GTM-57CZBMVR,GTM-PRB9ZFHW,analytics_416629733,,"amoremall.com,brand.amoremall.com"
,[GA4] Amorepacific - Ecommerce,[EC] INNISFREE - KR,G-PKG8ZN03QW,이커머스,https://www.innisfree.com/kr/ko/Main.do,웹/앱,GTM-TC4GB5CF,GTM-MSLVKS9C,GTM-K8QQVRD6,analytics_416711867,,
,[GA4] Amorepacific - Ecommerce,[EC] ARITAUM - KR,G-00V8Q7C3TE,이커머스,https://www.aritaum.com/main.do,웹,GTM-5ZZMCQ9B,-,-,analytics_416612114,,aritaum.com
,[GA4] Amorepacific - Ecommerce,[EC] OSULLOC - KR,G-46DFPHV30H,이커머스,https://www.osulloc.com/kr/ko,웹,GTM-KW8MKLBZ,-,-,analytics_416602402,,osulloc.com
,[GA4] Amorepacific - Ecommerce,[EC] AESTURA - KR,G-84NHR3996T,이커머스,https://www.aestura.com/web/main.do,웹,GTM-MZH2JRFN,-,-,analytics_416680783,,aestura.com
,[GA4] Amorepacific - Ecommerce,[EC] LABOH - KR,G-XHGW0FDJ87,이커머스,https://laboh.co.kr/,웹,GTM-PJD5VDF4,-,-,analytics_416571110,,"m.laboh.co.kr,laboh.co.kr"
,[GA4] Amorepacific - Ecommerce,[EC] AYUNCHE - KR,G-P5J15QS8TB,이커머스,https://www.ayunche.com,웹,GTM-P7SDQSCP,-,-,analytics_416672048,,"m.ayunche.com,ayunche.com"
,[GA4] Amorepacific - Ecommerce,[EC] AYUNCHEPRO - KR,G-LLLJVS3JRX,이커머스,https://www.ayunchepro.com,웹,GTM-MV2NCX5D,-,-,analytics_416705262,,"ayunchepro.com,m.ayunchepro.com,sales.ayunchepro.com,m.sales.ayunchepro.com"
,[GA4] Amorepacific - Ecommerce,[EC] ILLIYOON - KR,G-G44JBGN2K2,이커머스,https://www.illiyoon.com,웹,GTM-PFZJG9F3,-,-,analytics_416714189,,illiyoon.com
,[GA4] Amorepacific - Ecommerce,[EC] BRDY - KR,G-GZSC5HMXZ2,이커머스,https://www.brdy-official.com,웹,GTM-KCH4DTPM,-,-,analytics_416706974,GTM-NPC5TGJ,brdy-official.com
,[GA4] Amorepacific - Ecommerce,[EC] ADITSHOP - KR,G-1WNRQ2RWZV,이커머스,https://m.a-ditshop.com,웹/앱,GTM-PX556SRJ,GTM-NWNJQBTG,GTM-TRWSB878,analytics_416624566,,m.a-ditshop.com
,[GA4] Amorepacific - Ecommerce,[EC] ESPOIR,G-FXREB468E8,이커머스,https://www.espoir.com/ko/main.do,웹,GTM-T5QK2299,-,-,analytics_416696665,,espoir.com
,,,,,https://www.espoir.com/en/main.do,웹,,,,,,
,,,,,https://www.espoir.com/jp/main.do,웹,,,,,,
,[GA4] Amorepacific - Brand,[BR] ETUDE,G-JFW4CW5YGP,브랜드,https://www.etude.com/,웹,GTM-T9L756SB,-,-,analytics_416710864,,etude.com
,[GA4] Amorepacific - Brand,[BR] SULWHASOO,G-VPDD9H75HC,브랜드,https://www.sulwhasoo.com/kr/ko,웹,GTM-M3V7NC7D,-,-,analytics_416702651,,"sulwhasoo.com,sulwhasoo.com.cn"
,,,,,https://www.sulwhasoo.com/int/en,웹,,-,-,,,
,,,,,https://www.sulwhasoo.com.cn,웹,,-,-,,,
,,,,,https://www.sulwhasoo.com/id/id,웹,,-,-,,,
,[GA4] Amorepacific - Brand,[BR] INNISFREE,G-PKG8ZN03QW,브랜드,https://www.innisfree.com/id/en/,웹,GTM-KWPLZR3D,-,-,analytics_416706975,,"innisfree.cn,innisfree.com"
,,,,,https://www.innisfree.com/id/id/,,,-,-,,,
,,,,,https://www.innisfree.cn,,,-,-,,,
,[GA4] Amorepacific - Brand,[BR] LANEIGE,G-945LXGX3PK,브랜드,https://www.laneige.com/kr/ko,웹,GTM-PRKNM8RP,-,-,analytics_416686667,,"laneige.com,laneige.com.cn"
,,,,,https://www.laneige.com/int/en,웹,,-,-,,,
,,,,,https://www.laneige.com.cn,웹,,-,-,,,
,,,,,https://www.laneige.com/jp/ja,웹,,-,-,,,
,,,,,https://www.laneige.com/id/id,웹,,-,-,,,
,[GA4] Amorepacific - Brand,[BR] MAMONDE,G-P2CYBBCSEQ,브랜드,https://www.mamonde.com/kr/ko,웹,GTM-549T9S7B,-,-,analytics_416669438,,"mamonde.com,mamonde.com.cn"
,,,,,https://www.mamonde.com/int/en,웹,,-,-,,,
,,,,,https://www.mamonde.com.cn,웹,,-,-,,,
,[GA4] Amorepacific - Brand,[BR] IOPE,G-MX5X9Y4QNH,브랜드,https://www.iope.com/kr/ko,웹,GTM-NHZ8C3NM,-,-,analytics_416644163,,"iope.com,iope.com.cn"
,,,,,https://www.iope.com/int/en,웹,,-,-,,,
,,,,,https://www.iope.com.cn,웹,,-,-,,,
,[GA4] Amorepacific - Brand,[BR] HERA,G-CCXG04E6TQ,브랜드,https://www.hera.com/kr/ko,웹,GTM-KLH75MKG,-,-,analytics_416698158,,"hera.com,hera.com.cn,th.hera.com"
,,,,,https://www.hera.com/int/en,웹,,-,-,,,
,,,,,https://www.hera.com.cn,웹,,-,-,,,
,,,,,https://www.hera.com/jp/ja,웹,,-,-,,,
,,,,,https://th.hera.com/,웹,,-,-,,,
,[GA4] Amorepacific - Brand,[BR] AP BEAUTY,G-ERD8SX72CY,브랜드,https://www.amorepacific.com/kr/ko,웹,GTM-MMJ634Z2,-,-,analytics_416685549,,"ap-beauty.com,ap-beauty.com.cn"
,,,,,https://www.ap-beauty.com/kr/ko/index.html,웹,,-,-,,,
,,,,,https://www.ap-beauty.com/int/en/index.html,웹,,-,-,,,
,,,,,https://www.ap-beauty.com/cn,웹,,-,-,,,
,[GA4] Amorepacific - Brand,[BR] PRMR,G-B85G6Y99ND,브랜드,https://www.primerabeauty.com/kr/ko,웹,GTM-PZFDNH2C,-,-,analytics_416701960,,"primerabeauty.cn,primerabeauty.com"
,,,,,https://www.primerabeauty.cn,웹,,-,-,,,
,[GA4] Amorepacific - Brand,[BR] RYO,G-Y2LSZ9YN8P,브랜드,https://www.ryo.com/kr/ko,웹,GTM-PR788XB4,-,-,analytics_416696428,,ryo.com
,,,,,https://www.ryo.com/hk/zh,웹,,-,-,,,
,,,,,https://www.ryo.com/tw/zh,웹,,-,-,,,
,[GA4] Amorepacific - Brand,[BR] VITALBEAUTIE,G-W3WXPVMR99,브랜드,https://www.vitalbeautie.com/kr/ko,웹,GTM-TCBZFZT3,-,-,analytics_416650283,,vitalbeautie.com
,[GA4] Amorepacific - Brand,[BR] HANYUL,G-3W3WWGRCH5,브랜드,https://www.hanyul.com/kr/ko,웹,GTM-MLPCFZWK,-,-,analytics_416635656,,hanyul.com
,[GA4] Amorepacific - Brand,[BR] MISE EN SCENE,G-LJ15Z2HD9L,브랜드,https://www.miseenscene.com/kr/ko,웹,GTM-W22CW9XV,-,-,analytics_416724222,,miseenscene.com
,,,,,https://www.miseenscene.com/tw/zh,웹,,-,-,,,
,,,,,https://www.miseenscene.com/hk/zh,웹,,-,-,,,
,[GA4] Amorepacific - Brand,[BR] TONEWORK,G-L0DBHWX4RV,브랜드,https://www.tonework.com,웹,GTM-TZ2BK7SH,-,-,analytics_416701961,,tonework.com
,[GA4] Amorepacific - Brand,[BR] ARITAUM,G-GFDMQ0Q9VX,브랜드,https://us.aritaum.com/,웹,GTM-W4Z8P8D5,-,-,analytics_418848842,,us.aritaum.com
,[GA4] Amorepacific - Global D2C,[EC] AMOREMALL - GL,G-TV671RWMZG,이커머스,https://global.amoremall.com,웹,GTM-5J8C64SV,-,-,analytics_416573537,,global.amoremall.com
,,,,,https://global.amoremall.com/ja,웹,,-,-,,,
,[GA4] Amorepacific - Global D2C,[EC] AMOREPACIFIC - US,G-825Q30M1ZL,이커머스,https://us.amorepacific.com,웹,GTM-5ZBFG6H9,-,-,analytics_416693455,,us.amorepacific.com
