,계정명,속성명,WebStream Measurement ID,사이트 유형,대표 URLs,웹/앱 여부,Web GTM Pubilic ID,Android GTM Pubilic ID,iOS GTM Pubilic ID,Dataset ID,마케팅 GTM,whitelist
,[GA4] Amorepacific - Others,[OTHERS] 옴니회원플랫폼,G-0DMNZC4JXE,기타,https://one-ap.amorepacific.com/,웹,GTM-KGCJ8PF5,-,-,analytics_416713480,,"one3-ap.amorepacific.com,one-ap.amorepacific.com"
,[GA4] Amorepacific - Others,[OTHERS] 아모레팩토리 오디오 가이드,G-K8WCVSEV5W,기타,https://tour.amorepacific.com,웹/앱,GTM-KHZ64DNM,-,-,analytics_416650437,,tour.amorepacific.com
,[GA4] Amorepacific - Others,[OTHERS] 아모레퍼시픽 미술관,G-P9SJQDHKTB,기타,https://apma.amorepacific.com/index.do,웹/앱,GTM-NNTXRQ5J,-,-,analytics_416692289,,"apma.amorepacific.com,m.apma.amorepacific.com"
,[GA4] Amorepacific - Others,[OTHERS] 아모레스토리,G-0R7R0VX7ML,기타,https://stories.amorepacific.com/,웹,GTM-TRTNBQ5J,-,-,analytics_416690243,,stories.amorepacific.com
,[GA4] Amorepacific - Others,[OTHERS] 퍼시픽패키지,G-01SEZN05ZS,기타,https://www.pacificpackage.co.kr/,웹,GTM-M3VWFSRR,-,-,analytics_416612117,,pacificpackage.co.kr
,[GA4] Amorepacific - Others,[OTHERS] 아모레 카운셀러,G-9EZYKRYZ0Z,기타,https://www.amorecounselor.com/kr/ko/b/html/main.html,웹,GTM-NWQBWBPF,-,-,analytics_416689685,,amorecounselor.com
,[GA4] Amorepacific - Others,[OTHERS] 뷰티스퀘어,G-G6C5WMR0EF,기타,https://bstlms.amorepacific.com/,웹,GTM-PB22PV3J,-,-,analytics_416703787,,bstlms.amorepacific.com
,[GA4] Amorepacific - Others,[OTHERS] 디지털방판 모객시스템,G-GDY2N9SN42,기타,https://new.amorecounselor.com/,웹,GTM-PTWTV683,-,-,analytics_416704284,,new.amorecounselor.com
,[GA4] Amorepacific - Others,[OTHERS] 쉐이드피커,G-SHMDRQ90KY,기타,https://bts.amorepacific.com/sp/bts/,웹,GTM-WJCSXWMT,-,-,analytics_416691938,,bts.amorepacific.com
,[GA4] Amorepacific - Others,[OTHERS] 시티랩,G-XQC6N9F0XH,기타,https://bts.amorepacific.com/bts/ctl/,웹,GTM-WJCSXWMT,-,-,analytics_416711869,,bts.amorepacific.com
,[GA4] Amorepacific - Others,[OTHERS] 아모레퍼시픽 공식 대시보드,G-TTV4CQLVYG,내부,http://dataplace.amorepacific.com/,웹,GTM-MXFPN4KH,-,-,analytics_416669440,,dataplace.amorepacific.com
,[GA4] Amorepacific - Others,[OTHERS] 데이터플레이스,G-PQRLXGSECN,내부,https://dataplace-on.amorepacific.com,웹,GTM-PL474W3Z,-,-,analytics_416698159,,dataplace-on.amorepacific.com
,[GA4] Amorepacific - Others,[OTHERS] 에스트라,G-7ETR9BTPGJ,기타,https://bts.amorepacific.com/bts/asb/,웹,GTM-WJCSXWMT,-,-,analytics_437631407,,bts.amorepacific.com
,[GA4] Amorepacific - Others,[OTHERS] 북촌뷰티과학자의집,G-8E8QB0FNLZ,기타,https://bts.amorepacific.com/bts/bsh/,웹,GTM-WJCSXWMT,-,-,analytics_449610623,,bts.amorepacific.com
,[GA4] Amorepacific - Others,[OTHERS]VITAL BEAUTIE,G-1RQNYYH8NN,기타,https://bts.amorepacific.com/bts/btb/,웹,GTM-WJCSXWMT,-,-,analytics_462412412,,bts.amorepacific.com
,[GA4] Amorepacific - Others,[OTHERS] AMOSPRO BO,G-HXD5PXLPEY,기타,https://prdpro.amoshair.co.kr,웹,GTM-MB6DT9T7,-,-,analytics_462458292,,
